\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5124183  -1.2806137e-04 
 0   131.5328528  1.8959404e-04  
 0   131.5532872  2.9282632e-05  
 0   131.5737215  -9.6420968e-05 
 0   131.5941559  2.1586321e-04  
 0   131.6145904  -1.9478293e-04 
 0   131.6350247  3.6513367e-05  
 0   131.6554591  1.8136541e-05  
 0   131.6758936  -6.5285138e-05 
 0   131.6963280  -2.6888776e-05 
 0   131.7167623  -4.8880622e-04 
 0   131.7371967  3.6800098e-05  
 0   131.7576312  1.2508470e-04  
 0   131.7780655  -2.4527322e-05 
 0   131.7984999  -9.5136420e-05 
 0   131.8189344  -1.6623409e-04 
 0   131.8393687  3.7327447e-04  
 0   131.8598031  -4.6280207e-04 
 0   131.8802375  1.7913932e-04  
 0   131.9006719  2.1735692e-04  
 0   131.9211063  -2.7450436e-05 
 0   131.9415406  -1.6225358e-04 
 0   131.9619750  2.5965404e-04  
 0   131.9824094  -2.7419053e-05 
 0   132.0028438  8.1858445e-05  
 0   132.0232781  3.1179035e-04  
 0   132.0437126  3.7410157e-04  
 0   132.0641470  -1.5500940e-04 
 0   132.0845813  -1.9857318e-04 
 0   132.1050157  1.5901122e-05  
 0   132.1254502  9.5675627e-05  
 0   132.1458845  -1.6137317e-04 
 0   132.1663189  3.5008135e-05  
 0   132.1867534  -7.1812596e-05 
 0   132.2071878  1.5949004e-04  
 0   132.2276221  2.0958889e-04  
 0   132.2480565  -1.3531541e-04 
 0   132.2684910  -1.3225223e-04 
 0   132.2889253  5.0101744e-04  
 0   132.3093597  -5.4455677e-06 
 0   132.3297942  9.2305767e-05  
 0   132.3502285  -6.8012225e-05 
 0   132.3706629  1.3688715e-04  
 0   132.3910973  1.5211983e-04  
 0   132.4115317  -7.2804723e-05 
 0   132.4319661  -1.7832102e-04 
 0   132.4524004  3.7486519e-05  
 0   132.4728349  -1.6336449e-04 
 0   132.4932692  -1.1471348e-04 
 0   132.5137036  3.9494025e-05  
 0   132.5341379  9.8793971e-05  
 0   132.5545724  -1.5139817e-04 
 0   132.5750068  9.6811171e-05  
 0   132.5954411  -3.1242293e-04 
 0   132.6158756  -2.0898851e-04 
 0   132.6363100  6.0626604e-05  
 0   132.6567444  -9.7579192e-05 
 0   132.6771787  -2.0004423e-04 
 0   132.6976132  9.5672585e-05  
 0   132.7180476  3.0400441e-04  
 0   132.7384819  2.8562552e-04  
 0   132.7589164  2.0923381e-04  
 0   132.7793508  4.7572801e-05  
 0   132.7997851  1.0265227e-04  
 0   132.8202194  2.7640295e-05  
 0   132.8406539  -3.0541231e-04 
 0   132.8610882  -1.0398895e-04 
 0   132.8815226  3.6591606e-05  
 0   132.9019571  3.0405476e-04  
 0   132.9223914  -1.9005370e-04 
 0   132.9428258  -2.2464957e-04 
 0   132.9632602  -1.5664360e-04 
 0   132.9836947  2.0491156e-04  
 0   133.0041290  -1.9864333e-04 
 0   133.0245634  -1.3633182e-04 
 0   133.0449978  -9.0738889e-05 
 0   133.0654322  -1.5253485e-04 
 0   133.0858666  3.6650128e-04  
 0   133.1063010  1.6899739e-04  
 0   133.1267353  1.4052074e-04  
 0   133.1471697  1.9512023e-05  
 0   133.1676041  2.6611000e-04  
 0   133.1880385  -2.3359040e-04 
 0   133.2084730  1.3029444e-04  
 0   133.2289073  4.1050531e-05  
 0   133.2493417  7.4251257e-05  
 0   133.2697761  2.2347628e-04  
 0   133.2902105  -2.1971120e-04 
