\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5123462  2.6340675e-04  
 0   131.5327809  -7.6484069e-04 
 0   131.5532154  2.6583509e-04  
 0   131.5736498  2.5207348e-05  
 0   131.5940843  1.2709458e-04  
 0   131.6145190  1.6204301e-04  
 0   131.6349534  6.5313076e-04  
 0   131.6553879  -3.0634150e-05 
 0   131.6758226  6.2583385e-05  
 0   131.6962571  1.2868228e-04  
 0   131.7166915  -1.1028795e-05 
 0   131.7371260  1.4802723e-05  
 0   131.7575607  4.8343616e-04  
 0   131.7779951  6.0651021e-04  
 0   131.7984296  -7.7055424e-04 
 0   131.8188643  1.6516584e-04  
 0   131.8392987  2.9478912e-04  
 0   131.8597332  -9.9134259e-04 
 0   131.8801677  -1.4225193e-03 
 0   131.9006023  -2.6978107e-04 
 0   131.9210368  2.5623373e-04  
 0   131.9414713  -7.6625001e-04 
 0   131.9619059  5.7524064e-04  
 0   131.9823404  9.6880714e-05  
 0   132.0027749  -4.9782684e-04 
 0   132.0232093  -5.6181912e-04 
 0   132.0436440  -6.2378583e-04 
 0   132.0640785  2.0293212e-06  
 0   132.0845129  -6.7700201e-04 
 0   132.1049474  -3.4223153e-04 
 0   132.1253821  1.8579225e-04  
 0   132.1458165  1.0395348e-04  
 0   132.1662510  -2.9573172e-05 
 0   132.1866857  3.2533423e-04  
 0   132.2071202  3.2841845e-04  
 0   132.2275546  2.2660343e-04  
 0   132.2479891  -2.3787250e-04 
 0   132.2684238  2.3136837e-04  
 0   132.2888582  5.1267361e-05  
 0   132.3092927  3.8277962e-05  
 0   132.3297273  5.5549986e-04  
 0   132.3501618  3.2291751e-04  
 0   132.3705963  -3.3783395e-05 
 0   132.3910308  -3.9409337e-04 
 0   132.4114653  2.5760260e-04  
 0   132.4318999  -1.0128455e-04 
 0   132.4523344  -2.9122413e-04 
 0   132.4727690  4.4017562e-04  
 0   132.4932034  -1.9731806e-04 
 0   132.5136380  -4.1412385e-04 
 0   132.5340724  1.0211725e-03  
 0   132.5545070  -9.3227671e-04 
 0   132.5749416  -1.6436676e-04 
 0   132.5953760  7.6212746e-05  
 0   132.6158106  -2.0258111e-04 
 0   132.6362451  2.1306571e-04  
 0   132.6566797  -2.5335417e-04 
 0   132.6771141  2.6445554e-04  
 0   132.6975487  1.3252576e-04  
 0   132.7179832  1.7643048e-05  
 0   132.7384177  2.8531326e-04  
 0   132.7588523  -3.8662547e-04 
 0   132.7792868  3.3025446e-04  
 0   132.7997212  -4.8325158e-04 
 0   132.8201558  -2.7431163e-04 
 0   132.8405904  9.2354353e-04  
 0   132.8610248  -6.4965693e-04 
 0   132.8814593  3.4782023e-04  
 0   132.9018939  -8.9786923e-04 
 0   132.9223284  -6.9144691e-05 
 0   132.9427629  2.2224974e-04  
 0   132.9631974  -4.7429389e-04 
 0   132.9836320  3.9832864e-04  
 0   133.0040665  -4.1292387e-04 
 0   133.0245010  1.7398270e-04  
 0   133.0449355  1.6825756e-05  
 0   133.0653700  5.8714970e-05  
 0   133.0858046  -3.5280107e-05 
 0   133.1062391  1.5343801e-04  
 0   133.1266736  -6.7219022e-04 
 0   133.1471081  -6.1974359e-05 
 0   133.1675427  3.6616300e-04  
 0   133.1879772  9.4893243e-05  
 0   133.2084118  -1.2062262e-04 
 0   133.2288462  -5.3902727e-04 
 0   133.2492808  5.2008236e-05  
 0   133.2697153  2.7240088e-04  
 0   133.2901498  8.4581325e-06  
 0   133.3105843  -3.4298570e-05 
 0   133.3310187  -9.1880691e-05 
 0   133.3514534  -3.2544683e-04 
 0   133.3718879  2.8952738e-05  
 0   133.3923224  9.0032518e-05  
 0   133.4127569  -3.6519440e-04 
 0   133.4331915  2.6842568e-04  
 0   133.4536260  1.4940896e-03  
 0   133.4740604  -8.2121238e-05 
 0   133.4944950  3.1437021e-04  
 0   133.5149295  -2.1905562e-05 
 0   133.5353640  1.5883797e-04  
 0   133.5557986  3.6407635e-04  
 0   133.5762331  3.5963178e-04  
 0   133.5966675  2.6628765e-04  
 0   133.6171021  4.5618901e-04  
 0   133.6375367  -2.8465336e-04 
 0   133.6579712  -5.7054331e-05 
 0   133.6784056  -2.0570036e-03 
 0   133.6988402  -2.3771117e-03 
 0   133.7192748  -2.1219559e-03 
 0   133.7397092  -2.6694862e-03 
 0   133.7601437  -3.3988573e-03 
 0   133.7805783  -1.4859120e-03 
 0   133.8010128  1.0290775e-04  
 0   133.8214473  -1.0393059e-03 
 0   133.8418818  -1.1841078e-04 
 0   133.8623163  -1.4747873e-04 
 0   133.8827508  4.5791740e-04  
 0   133.9031854  -6.0506532e-05 
 0   133.9236199  3.9679272e-04  
 0   133.9440544  -5.5809855e-04 
 0   133.9644889  -3.8940785e-04 
 0   133.9849233  4.3085541e-04  
 0   134.0053580  -2.0542885e-04 
 0   134.0257925  -2.1354086e-05 
 0   134.0462269  -1.5839146e-04 
 0   134.0666615  4.7012675e-04  
 0   134.0870960  -6.4609892e-04 
 0   134.1075305  2.4178608e-04  
 0   134.1279650  5.7915575e-04  
 0   134.1483996  3.8804783e-04  
 0   134.1688341  3.7139864e-05  
 0   134.1892685  6.8741024e-04  
 0   134.2097032  3.2206727e-04  
 0   134.2301377  4.0373925e-04  
 0   134.2505721  6.6636206e-04  
 0   134.2710066  6.5134722e-04  
 0   134.2914412  -3.0123530e-05 
 0   134.3118757  -4.3478317e-04 
 0   134.3323102  -7.7981147e-04 
 0   134.3527448  2.3832593e-04  
 0   134.3731792  6.0625884e-05  
 0   134.4140482  6.3272586e-05  
 0   134.4344828  -7.0856611e-04 
 0   134.4549173  1.4677863e-05  
 0   134.4753518  7.9669626e-05  
 0   134.4957864  -5.3642131e-04 
 0   134.5162208  -2.4328964e-04 
 0   134.5366554  -2.8615308e-04 
 0   134.5570898  3.6769532e-05  
 0   134.5775244  -3.8620512e-04 
 0   134.5979589  -5.5767212e-04 
 0   134.6183933  2.3889606e-04  
 0   134.6388278  2.7391821e-04  
 0   134.6592625  -5.4744328e-04 
 0   134.6796970  -9.6549845e-04 
 0   134.7001315  2.2371909e-04  
 0   134.7205660  -6.9724614e-05 
 0   134.7410005  2.0128764e-04  
 0   134.7614350  1.4692740e-04  
 0   134.7818695  6.8551971e-04  
 0   134.8023041  7.6022331e-04  
 0   134.8227386  -4.8701020e-04 
 0   134.8431730  -1.5491556e-04 
 0   134.8636076  -2.3548091e-04 
 0   134.8840422  -1.5948730e-04 
 0   134.9044767  2.7629457e-04  
 0   134.9249111  -2.0891913e-04 
 0   134.9453457  -3.7396103e-04 
 0   134.9657802  5.2021176e-04  
 0   134.9862146  -3.0781615e-05 
 0   135.0066493  1.8513517e-04  
 0   135.0270838  2.9376507e-04  
 0   135.0475182  5.8194390e-04  
 0   135.0679527  1.5343471e-04  
 0   135.0883873  -4.8338808e-04 
 0   135.1088217  -7.5468306e-05 
