\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5127176  1.9104354e-04  
 0   131.5331520  -1.1096209e-04 
 0   131.5535862  -7.9496509e-05 
 0   131.5740204  -5.9993316e-05 
 0   131.5944546  4.4826523e-04  
 0   131.6148890  4.0730494e-05  
 0   131.6353231  2.2387934e-04  
 0   131.6557574  3.4943732e-04  
 0   131.6761917  -1.4044091e-04 
 0   131.6966260  5.9929844e-06  
 0   131.7170602  -7.5166958e-05 
 0   131.7374944  -2.6386991e-04 
 0   131.7579288  -2.2259365e-04 
 0   131.7783629  -1.1269385e-04 
 0   131.7987972  -1.7795003e-04 
 0   131.8192315  -2.6013792e-04 
 0   131.8396657  -2.9693334e-04 
 0   131.8600999  1.2391082e-04  
 0   131.8805342  3.3149176e-04  
 0   131.9009684  -1.2935186e-04 
 0   131.9214027  -2.1045165e-04 
 0   131.9418369  -7.0311464e-05 
 0   131.9622712  -1.1388437e-04 
 0   131.9827054  -4.3840942e-06 
 0   132.0031397  -2.4780993e-05 
 0   132.0235738  1.8277758e-04  
 0   132.0440082  5.9618356e-05  
 0   132.0644425  2.3113420e-05  
 0   132.0848766  -1.5478778e-04 
 0   132.1053109  2.2768759e-04  
 0   132.1257452  -9.6580530e-05 
 0   132.1461794  6.9899834e-05  
 0   132.1666136  -7.0449474e-05 
 0   132.1870480  -5.8768379e-05 
 0   132.2074822  3.2156706e-04  
 0   132.2279164  1.6296265e-04  
 0   132.2483506  1.2071147e-06  
 0   132.2687850  2.3678708e-04  
 0   132.2892191  -4.2031512e-05 
 0   132.3096534  -1.4821588e-05 
 0   132.3300877  -1.4124288e-04 
 0   132.3505219  1.4731314e-04  
 0   132.3709561  8.0957339e-05  
 0   132.3913904  1.2931980e-04  
 0   132.4118246  9.9207668e-05  
 0   132.4322589  5.4947560e-04  
 0   132.4526931  6.1504295e-05  
 0   132.4731275  -1.6346200e-04 
 0   132.4935616  -1.6649599e-04 
 0   132.5139959  -3.7380544e-04 
 0   132.5344300  1.3720736e-04  
 0   132.5548644  -5.9344660e-05 
 0   132.5752986  6.0348172e-04  
 0   132.5957328  -1.1053649e-04 
 0   132.6161671  -2.0814963e-05 
 0   132.6366014  9.9362351e-06  
 0   132.6570356  6.7503148e-05  
 0   132.6774698  7.6836193e-05  
 0   132.6979041  1.9301852e-04  
 0   132.7183383  -1.3754655e-04 
 0   132.7387725  1.0942264e-04  
 0   132.7592068  -8.2330640e-05 
 0   132.7796411  -9.6167096e-05 
 0   132.8000752  -8.4026933e-06 
 0   132.8205095  -1.9809480e-05 
 0   132.8409438  4.4166609e-05  
 0   132.8613780  4.5765610e-05  
 0   132.8818122  -2.2739450e-04 
 0   132.9022466  -1.0689436e-04 
 0   132.9226807  -6.0835293e-05 
 0   132.9431150  1.4980987e-04  
 0   132.9635492  2.3415123e-04  
 0   132.9839836  1.0710345e-04  
 0   133.0044177  -3.8229831e-04 
 0   133.0248520  3.2011114e-05  
 0   133.0452862  1.5885205e-04  
 0   133.0657204  -1.8009455e-04 
 0   133.0861547  -6.9987086e-06 
 0   133.1065889  1.3214382e-05  
 0   133.1270232  2.1565067e-04  
 0   133.1474574  -5.5507742e-05 
 0   133.1678917  -3.8532189e-06 
 0   133.1883259  2.0038994e-04  
 0   133.2087603  -9.9097946e-05 
 0   133.2291944  1.2143178e-04  
 0   133.2496287  -3.6652113e-05 
 0   133.2700629  -1.7267631e-04 
 0   133.2904971  -2.2784129e-04 
 0   133.3109314  -1.6511431e-04 
 0   133.3313655  -1.1679235e-04 
 0   133.3517999  8.8307468e-05  
 0   133.3722341  -1.2095602e-04 
 0   133.3926684  -1.9793618e-04 
 0   133.4131026  4.4480708e-05  
 0   133.4335369  1.6073887e-04  
 0   133.4539711  1.9221233e-04  
 0   133.4744052  6.2602063e-05  
 0   133.4948396  2.0133276e-04  
 0   133.5152738  -1.9104763e-04 
 0   133.5357080  -1.0398382e-05 
 0   133.5561423  2.6429040e-04  
 0   133.5765766  2.3837184e-04  
 0   133.5970107  -5.4194395e-05 
 0   133.6174450  1.4597265e-04  
 0   133.6378793  -2.6802274e-05 
 0   133.6583135  -2.5643132e-04 
 0   133.6787477  -7.7012828e-06 
 0   133.6991820  1.0037289e-04  
 0   133.7196163  -9.9641751e-05 
 0   133.7400504  2.2663295e-04  
 0   133.7604847  1.9685924e-04  
 0   133.7809190  2.6318451e-04  
 0   133.8013531  -1.5016843e-05 
 0   133.8217874  -8.3936568e-05 
 0   133.8422216  -1.4643621e-04 
 0   133.8626559  -1.3709173e-04 
 0   133.8830901  -1.1422668e-04 
 0   133.9035243  3.9082035e-05  
 0   133.9239586  2.1965591e-04  
 0   133.9443928  -2.3714251e-06 
 0   133.9648271  -1.3636384e-04 
 0   133.9852612  -2.3501297e-04 
 0   134.0056955  -7.2884715e-05 
 0   134.0261298  -5.2502939e-05 
 0   134.0465639  -1.4253208e-04 
 0   134.0669983  3.0375546e-04  
 0   134.0874325  2.0803511e-04  
 0   134.1078667  6.6574947e-05  
 0   134.1283009  -2.9029133e-04 
 0   134.1487352  -1.1241143e-05 
 0   134.1691695  9.3372997e-05  
 0   134.1896036  -4.1748823e-05 
 0   134.2100379  4.7651105e-05  
 0   134.2304722  5.5757791e-05  
 0   134.2509063  5.4887997e-04  
 0   134.2713406  -2.8660199e-05 
 0   134.2917749  9.1534421e-06  
 0   134.3122090  -8.4662017e-05 
 0   134.3326433  -2.1697867e-04 
 0   134.3530776  3.4118690e-05  
 0   134.3735118  -1.1422373e-04 
 0   134.4143802  3.4473883e-04  
 0   134.4348145  -1.7960205e-04 
 0   134.4552487  -1.1926790e-04 
 0   134.4756830  2.7179642e-04  
 0   134.4961173  -6.2138565e-06 
 0   134.5165514  1.3193979e-04  
 0   134.5369857  -4.1449846e-05 
 0   134.5574198  2.0147944e-04  
 0   134.5778541  7.6947545e-05  
 0   134.5982884  7.5762269e-05  
 0   134.6187225  -1.1527123e-04 
 0   134.6391568  1.3670598e-05  
 0   134.6595911  -1.5564032e-05 
 0   134.6800253  1.3057578e-04  
 0   134.7004596  -1.4691417e-04 
 0   134.7208938  -1.2594195e-04 
 0   134.7413280  -1.9810782e-04 
 0   134.7617622  5.8758640e-05  
 0   134.7821964  8.9420653e-05  
 0   134.8026307  2.0560228e-05  
 0   134.8230650  -1.0585170e-05 
 0   134.8434991  3.7793929e-04  
 0   134.8639335  1.0621825e-05  
 0   134.8843677  1.0931793e-05  
 0   134.9048019  -2.1027937e-04 
 0   134.9252361  3.4103159e-05  
 0   134.9456704  -7.3798146e-06 
 0   134.9661046  -2.2013379e-04 
 0   134.9865388  5.9968082e-04  
 0   135.0069731  1.8633382e-05  
 0   135.0274073  -2.8032411e-04 
 0   135.0478415  2.7208290e-07  
 0   135.0682757  -5.8314207e-08 
 0   135.0887100  9.8644407e-05  
 0   135.1091442  -3.8968133e-06 
 0   135.1295784  -2.0029220e-04 
 0   135.1500127  -2.8533725e-05 
 0   135.1704470  7.8256387e-05  
 0   135.1908811  3.9622970e-05  
 0   135.2113153  8.4390094e-06  
 0   135.2317497  4.9743536e-05  
 0   135.2521838  -2.9790017e-04 
 0   135.2726180  -1.6472346e-05 
 0   135.2930522  -2.2815437e-04 
 0   135.3134865  2.5045132e-04  
 0   135.3339207  -9.9658428e-05 
 0   135.3543549  3.9530951e-05  
 0   135.3747892  3.5014914e-04  
 0   135.3952234  4.4532611e-05  
 0   135.4156577  4.2359679e-05  
 0   135.4360918  7.4189011e-05  
 0   135.4565261  -1.0284659e-04 
 0   135.4769604  1.0300711e-05  
 0   135.4973945  1.4341611e-04  
 0   135.5178288  -2.8389117e-05 
 0   135.5382631  -1.2779538e-05 
 0   135.5586972  8.7001725e-05  
 0   135.5791314  -1.6941567e-04 
 0   135.5995658  2.2353681e-06  
 0   135.6199999  -8.5930624e-05 
 0   135.6404341  -5.4601638e-05 
 0   135.6608685  -2.8226048e-05 
 0   135.6813027  1.5373774e-06  
 0   135.7017368  2.3653527e-04  
 0   135.7221711  -3.3398633e-06 
 0   135.7426054  1.3846548e-04  
 0   135.7630395  2.9609178e-04  
 0   135.7834737  -1.3669462e-04 
 0   135.8039081  -1.2138508e-04 
 0   135.8243422  -2.4452677e-04 
 0   135.8447764  -6.5841363e-05 
