\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5123247  1.8037194e-04  
 0   131.5327590  2.2684648e-05  
 0   131.5531932  -4.2013857e-05 
 0   131.5736273  3.1071009e-05  
 0   131.5940615  6.4200118e-05  
 0   131.6144958  -3.5944435e-05 
 0   131.6349299  5.3459196e-05  
 0   131.6553641  1.0300670e-04  
 0   131.6757984  -1.6683001e-06 
 0   131.6962326  1.0784388e-04  
 0   131.7166667  -4.7184141e-05 
 0   131.7371009  -6.1647363e-05 
 0   131.7575352  -5.9141621e-05 
 0   131.7779693  -1.3083915e-04 
 0   131.7984035  -2.7012367e-05 
 0   131.8188378  -3.5601945e-06 
 0   131.8392719  1.7811317e-04  
 0   131.8597061  -1.2280719e-04 
 0   131.8801403  1.1364662e-04  
 0   131.9005745  -1.1521970e-04 
 0   131.9210086  2.6306874e-05  
 0   131.9414428  -4.6185163e-05 
 0   131.9618770  -1.1618454e-04 
 0   131.9823112  -4.7260310e-05 
 0   132.0027454  -4.6998943e-05 
 0   132.0231795  -1.5524922e-04 
 0   132.0436138  3.3401224e-07  
 0   132.0640480  6.8841677e-05  
 0   132.0844821  5.4318200e-05  
 0   132.1049163  2.2222710e-04  
 0   132.1253506  -4.1528776e-05 
 0   132.1457847  9.8963515e-05  
 0   132.1662189  -1.1545079e-05 
 0   132.1866532  -1.0300624e-05 
 0   132.2070874  -1.5571555e-04 
 0   132.2275215  -3.7450198e-05 
 0   132.2479557  9.8103381e-05  
 0   132.2683900  1.2049019e-04  
 0   132.2888241  6.0539944e-05  
 0   132.3092583  -7.7624907e-05 
 0   132.3296925  -2.9650344e-05 
 0   132.3501266  4.9933820e-05  
 0   132.3705608  -1.6490400e-05 
 0   132.3909950  -3.2407443e-05 
 0   132.4114292  -5.6679000e-05 
 0   132.4318634  -1.2140646e-05 
 0   132.4522976  4.0886960e-05  
 0   132.4727319  3.4165841e-05  
 0   132.4931660  -9.0046215e-06 
 0   132.5136002  5.1738869e-05  
 0   132.5340343  -3.8668622e-05 
 0   132.5544686  5.4530506e-06  
 0   132.5749028  1.3309941e-04  
 0   132.5953369  -9.1315997e-05 
 0   132.6157712  1.3081596e-04  
 0   132.6362054  -1.1653014e-04 
 0   132.6566395  6.5799126e-05  
 0   132.6770736  -3.0910367e-05 
 0   132.6975079  1.0933579e-04  
 0   132.7179421  -7.0454837e-05 
 0   132.7383762  8.1192346e-05  
 0   132.7588105  4.3855078e-05  
 0   132.7792447  1.0238016e-05  
 0   132.7996788  4.1415196e-06  
