\fixlen = T
|set|TIME        |LC_INIT       |
|int|double      |double        |
 0   134.8642730  -8.8880581e-05 
 0   134.8847073  -1.8377388e-04 
 0   134.9051416  9.0221685e-05  
 0   134.9255758  2.8481323e-04  
 0   134.9460102  -3.0468812e-04 
 0   134.9664446  1.0488948e-04  
 0   134.9868788  4.4096299e-04  
 0   135.0073132  2.3613979e-04  
 0   135.0277475  -7.4786964e-05 
 0   135.0481817  1.1407315e-04  
 0   135.0686160  9.7931290e-05  
 0   135.0890504  -8.5013155e-05 
 0   135.1094846  1.2213105e-04  
 0   135.1299189  5.6751664e-06  
 0   135.1503533  -2.8394428e-03 
 0   135.1707876  -8.0258287e-03 
 0   135.1912218  -8.9186877e-03 
 0   135.2116561  -9.4747581e-03 
 0   135.2320905  -8.8738510e-03 
 0   135.2525247  -7.4453619e-03 
 0   135.2729590  -1.6684468e-03 
 0   135.2933932  -1.6376951e-04 
 0   135.3138276  3.1651894e-04  
 0   135.3342619  -1.5618264e-04 
 0   135.3546961  3.0600295e-05  
 0   135.3751305  2.5581190e-05  
 0   135.3955648  2.3755361e-04  
 0   135.4159991  -4.0386553e-04 
 0   135.4364333  -2.6020210e-04 
 0   135.4568677  3.4253913e-05  
 0   135.4773020  -4.8989099e-05 
 0   135.4977362  -6.2138221e-05 
 0   135.5181706  2.4450262e-04  
 0   135.5386049  1.2414526e-04  
 0   135.5590391  -3.2611188e-04 
 0   135.5794734  -9.5784708e-05 
 0   135.5999078  -2.3015671e-04 
 0   135.6203420  -1.6403680e-04 
 0   135.6407763  -1.5052098e-04 
 0   135.6612107  -2.9350759e-04 
 0   135.6816450  -9.3204500e-05 
 0   135.7020792  1.2629339e-04  
 0   135.7225134  -2.9007639e-05 
 0   135.7429478  -5.2115618e-05 
 0   135.7633820  -9.3428149e-05 
 0   135.7838163  1.4152139e-05  
 0   135.8042507  2.7992512e-04  
 0   135.8246849  -9.6096570e-05 
 0   135.8451192  -1.6702787e-04 
 0   135.8655535  -7.5866497e-05 
 0   135.8859878  -9.0408226e-05 
 0   135.9064221  1.7334090e-04  
 0   135.9268564  -7.5406613e-05 
 0   135.9472906  -1.2446201e-04 
 0   135.9677250  -4.5924127e-05 
 0   135.9881593  -3.2789911e-05 
 0   136.0085935  1.4933695e-04  
 0   136.0290279  2.7643287e-06  
 0   136.0494622  4.6397746e-04  
 0   136.0698964  -9.5797943e-05 
 0   136.0903307  -1.7898550e-04 
 0   136.1107651  -1.4797947e-04 
 0   136.1311994  3.1319596e-05  
 0   136.1516335  -9.4081108e-05 
 0   136.1720679  2.2409795e-05  
 0   136.1925022  6.5148802e-04  
 0   136.2129364  -2.7351372e-04 
 0   136.2333707  7.9584849e-04  
 0   136.2538051  1.0053403e-04  
 0   136.2742393  2.7405247e-05  
 0   136.2946736  1.5071011e-05  
 0   136.3151080  1.3893015e-04  
 0   136.3355422  -1.5110091e-06 
 0   136.3559765  2.9623645e-04  
 0   136.3764108  -7.0909999e-05 
 0   136.3968451  5.1682402e-04  
 0   136.4172794  3.6856529e-04  
 0   136.4377136  -2.5879027e-04 
 0   136.4581480  -2.1676080e-04 
 0   136.4785822  1.2795952e-04  
 0   136.4990165  9.7781427e-05  
 0   136.5194508  -4.0998693e-06 
 0   136.5398851  -2.5918306e-04 
 0   136.5603194  -2.3527497e-04 
 0   136.5807537  3.8181947e-04  
 0   136.6011880  3.7261951e-04  
 0   136.6216223  1.0081945e-04  
 0   136.6420565  2.4390859e-04  
 0   136.6624908  -3.8399769e-05 
 0   136.6829251  1.1788072e-04  
 0   136.7033594  2.3825759e-04  
 0   136.7237937  -2.8575957e-04 
 0   136.7442279  6.4589613e-04  
 0   136.7646623  7.8871359e-05  
 0   136.7850966  -2.1146193e-04 
 0   136.8055308  3.1926797e-06  
 0   136.8259651  -6.9152280e-05 
 0   136.8463994  2.3299275e-04  
 0   136.8668337  2.2843857e-04  
 0   136.8872679  3.1597886e-04  
 0   136.9077023  3.0991659e-04  
 0   136.9281366  3.9454887e-04  
 0   136.9485708  -2.3214940e-05 
 0   136.9690052  9.2208844e-05  
 0   136.9894394  -2.1067741e-05 
 0   137.0098736  3.9048973e-05  
 0   137.0303079  2.2125982e-04  
 0   137.0507423  -9.5625386e-05 
 0   137.0711765  -1.5491857e-04 
 0   137.0916108  -3.1189900e-06 
 0   137.1120452  -7.2319795e-05 
 0   137.1324794  4.0176694e-04  
 0   137.1529136  2.3885991e-04  
 0   137.1733479  -1.0434810e-04 
 0   137.1937823  -1.9576392e-04 
 0   137.2142165  -4.7487309e-05 
 0   137.2346508  1.1138535e-04  
 0   137.2550850  -2.0963818e-04 
 0   137.2755193  7.1425042e-05  
 0   137.2959536  4.4289398e-05  
 0   137.3163878  -1.3024763e-04 
 0   137.3368222  9.2005379e-05  
 0   137.3572565  1.7759388e-05  
 0   137.3981249  1.1405258e-04  
 0   137.4185593  -1.3503504e-05 
 0   137.4389936  2.8843002e-04  
 0   137.4594278  4.3156245e-04  
 0   137.4798622  3.1389543e-04  
 0   137.5002965  1.8782500e-04  
 0   137.5207306  3.2654684e-04  
 0   137.5411649  2.4766859e-04  
 0   137.5615993  1.9018649e-04  
 0   137.5820335  1.2550103e-04  
 0   137.6024678  -6.6185909e-05 
 0   137.6229022  1.9751651e-04  
 0   137.6433364  1.9261974e-04  
 0   137.6637706  2.9522049e-05  
 0   137.6842049  2.6741464e-04  
 0   137.7046393  2.9410716e-04  
 0   137.7250735  4.0809493e-04  
 0   137.7455077  6.2337780e-04  
 0   137.7659421  2.3766680e-04  
 0   137.7863763  3.3174490e-04  
 0   137.8068106  3.5942078e-04  
 0   137.8272448  4.0359312e-04  
 0   137.8476791  -3.7242484e-04 
 0   137.8681134  6.2932592e-04  
 0   137.8885477  -9.8299279e-05 
 0   137.9089819  2.6895505e-04  
 0   137.9294163  3.2221116e-04  
 0   137.9498505  6.0646044e-04  
 0   137.9702847  3.3520133e-05  
 0   137.9907191  5.0316023e-04  
 0   138.0111534  -4.6586691e-05 
 0   138.0315876  -2.9645644e-05 
 0   138.0520218  7.1590999e-05  
 0   138.0724562  1.6612469e-04  
 0   138.0928905  3.0195471e-04  
 0   138.1133247  5.0908059e-04  
 0   138.1337590  2.2014414e-05  
 0   138.1541933  4.1753132e-04  
 0   138.1746275  4.1935151e-04  
 0   138.1950618  4.1616883e-04  
 0   138.2154962  2.4098596e-04  
 0   138.2359304  2.0069804e-04  
 0   138.2563646  4.2950298e-04  
 0   138.2767990  2.2211196e-04  
 0   138.2972333  2.6341417e-04  
 0   138.3176674  6.2660850e-04  
 0   138.3381017  2.3111195e-04  
 0   138.3585361  -5.3989108e-05 
 0   138.3789704  2.8929714e-04  
 0   138.3994045  2.3258697e-04  
 0   138.4198389  -1.0632148e-04 
 0   138.4402732  1.8215744e-04  
 0   138.4607074  -1.7515611e-04 
 0   138.4811416  2.7931485e-04  
 0   138.5015760  -1.3370316e-04 
 0   138.5220102  3.0086283e-04  
 0   138.5424445  -2.9621474e-06 
 0   138.5628787  5.7099643e-04  
 0   138.5833130  3.3669985e-05  
 0   138.6037473  -1.6876431e-04 
 0   138.6241816  3.2692496e-05  
 0   138.6446158  6.6549430e-05  
 0   138.6650501  -6.0188503e-04 
 0   138.6854844  -6.3998410e-03 
 0   138.7059185  -8.9092515e-03 
 0   138.7263529  -9.2410985e-03 
 0   138.7467872  -9.2392536e-03 
 0   138.7672214  -8.4244236e-03 
 0   138.7876557  -3.8936543e-03 
 0   138.8080900  2.5681808e-04  
 0   138.8285242  1.3375576e-04  
 0   138.8489585  -6.7607638e-05 
 0   138.8693928  1.0222082e-04  
 0   138.8898271  -2.8634418e-04 
 0   138.9102613  2.0757462e-04  
 0   138.9306956  1.2780025e-04  
 0   138.9511299  -2.0667231e-04 
 0   138.9715641  -2.6315145e-04 
 0   138.9919983  4.2361513e-05  
 0   139.0124327  3.1247290e-04  
 0   139.0328669  -2.1450529e-04 
 0   139.0533012  3.8026653e-06  
 0   139.0737355  -4.6868058e-04 
 0   139.0941697  4.4418561e-05  
 0   139.1146040  -2.2547199e-04 
 0   139.1350382  3.5927034e-05  
 0   139.1554725  2.1622532e-04  
 0   139.1759068  -1.1707025e-04 
 0   139.1963410  3.4424542e-05  
 0   139.2167752  2.0831704e-04  
 0   139.2372096  4.9320585e-04  
 0   139.2576438  2.7204615e-05  
 0   139.2780780  2.7945198e-06  
 0   139.2985124  7.4821005e-06  
 0   139.3189466  2.1866457e-04  
 0   139.3393809  -6.0147035e-05 
 0   139.3598151  8.4032872e-05  
 0   139.3802495  -1.5578294e-04 
 0   139.4006837  -1.9950360e-04 
 0   139.4211179  -6.9628753e-05 
 0   139.4415523  7.4544150e-05  
 0   139.4619865  5.9820939e-04  
 0   139.4824207  2.5858654e-04  
 0   139.5028549  1.7075807e-04  
 0   139.5232893  4.0372289e-04  
 0   139.5437235  4.6178888e-04  
 0   139.5641577  -8.2837207e-05 
 0   139.5845921  3.4241981e-04  
 0   139.6050263  2.9528272e-04  
 0   139.6254605  2.6124393e-04  
 0   139.6458948  9.5205687e-05  
 0   139.6663292  2.6866060e-04  
 0   139.6867633  1.1420851e-05  
 0   139.7071976  4.1856917e-04  
 0   139.7276319  5.4928219e-05  
 0   139.7480661  1.2237908e-04  
 0   139.7685004  1.6122898e-04  
 0   139.7889347  3.5257512e-04  
 0   139.8093689  2.4192470e-04  
 0   139.8298032  4.3574353e-05  
 0   139.8502374  7.7519035e-05  
 0   139.8706717  -4.0222946e-04 
 0   139.8911060  -3.2992601e-05 
 0   139.9115402  9.8746772e-05  
 0   139.9319745  -1.9210839e-04 
 0   139.9524089  -3.3156713e-04 
 0   139.9728430  -4.8344273e-06 
 0   139.9932773  -4.6629040e-04 
 0   140.0137114  5.7336929e-05  
 0   140.0341458  3.0586749e-04  
 0   140.0545801  -4.0868780e-04 
 0   140.0750143  -2.7015762e-04 
 0   140.0954486  -3.8202453e-04 
 0   140.1158828  -2.9319566e-04 
 0   140.1363171  -4.1970314e-05 
 0   140.1567513  -2.0073948e-04 
 0   140.1771856  -8.4813946e-05 
 0   140.1976199  9.0709720e-05  
 0   140.2180540  1.4936445e-05  
 0   140.2384884  -3.4563322e-04 
 0   140.2589227  -2.0391170e-04 
 0   140.2793568  -3.5418640e-04 
 0   140.2997911  -5.8168971e-05 
 0   140.3202254  -1.6004607e-04 
 0   140.3406596  -6.9026988e-05 
 0   140.3815281  -1.1778745e-04 
 0   140.4019625  3.9192280e-04  
 0   140.4223966  -5.6652509e-05 
 0   140.4428309  -2.1893301e-04 
 0   140.4632653  -1.9791706e-04 
 0   140.4836994  -2.1800109e-04 
 0   140.5041337  -1.0308786e-04 
 0   140.5245678  1.4192272e-04  
 0   140.5450022  -6.0260187e-05 
 0   140.5654364  -2.6247373e-05 
 0   140.5858707  -1.4293269e-04 
 0   140.6063050  -2.8225809e-06 
 0   140.6267392  2.3888852e-05  
 0   140.6471735  3.8299456e-04  
 0   140.6676076  -1.6958572e-04 
 0   140.6880420  1.8271926e-04  
 0   140.7084762  1.1823044e-04  
 0   140.7289104  -2.9075329e-04 
 0   140.7493447  9.6550029e-05  
 0   140.7697790  5.5659795e-05  
 0   140.7902132  3.5846382e-04  
 0   140.8106474  6.3377032e-05  
 0   140.8310818  3.1838130e-04  
 0   140.8515160  4.4748728e-04  
 0   140.8719502  1.7649939e-04  
 0   140.8923844  1.3420770e-04  
 0   140.9128188  3.2921208e-04  
 0   140.9332529  -1.7647262e-04 
 0   140.9536872  3.3132653e-04  
 0   140.9741215  1.7363610e-04  
 0   140.9945557  -9.4452669e-05 
 0   141.0149899  -1.8734427e-04 
 0   141.0354242  8.0958380e-05  
 0   141.0558584  -2.8202901e-04 
 0   141.0762927  -1.3582445e-04 
 0   141.0967270  -2.1401633e-04 
 0   141.1171612  2.6608302e-04  
 0   141.1375955  -3.8905135e-05 
 0   141.1580297  1.3579920e-04  
 0   141.1784639  -2.5498742e-04 
 0   141.1988982  5.0115119e-05  
 0   141.2193325  1.5272100e-04  
 0   141.2397666  5.7362200e-04  
 0   141.2602010  1.5233656e-04  
 0   141.2806352  -2.4764900e-04 
 0   141.3010694  4.0474904e-04  
 0   141.3215036  1.0986229e-04  
 0   141.3419380  3.5646730e-04  
 0   141.3623722  2.4820845e-06  
 0   141.3828064  2.3618793e-04  
 0   141.4032406  4.6959412e-04  
 0   141.4236750  3.4940627e-04  
 0   141.4441092  1.6161990e-04  
 0   141.4645434  -1.0356483e-04 
 0   141.4849777  -4.9854170e-05 
 0   141.5054120  -2.5003904e-04 
 0   141.5258461  -1.5452808e-04 
 0   141.5462804  2.3823934e-06  
 0   141.5667146  1.2519394e-04  
 0   141.5871490  -3.0889561e-05 
 0   141.6075831  -1.2217351e-04 
 0   141.6280174  -4.3759555e-05 
 0   141.6484517  -3.8923830e-04 
 0   141.6688858  -1.1872612e-04 
 0   141.6893201  1.3778693e-04  
 0   141.7097544  -2.9928840e-04 
 0   141.7301886  3.1524869e-05  
 0   141.7506228  1.0474291e-04  
 0   141.7710572  1.3066245e-04  
 0   141.7914913  1.0888351e-04  
 0   141.8119256  1.7560394e-04  
 0   141.8323598  -6.2969979e-05 
 0   141.8527941  -1.2754582e-04 
 0   141.8732283  2.2887252e-04  
 0   141.8936625  2.2099752e-04  
 0   141.9140969  7.0125650e-05  
 0   141.9345310  1.9225040e-04  
 0   141.9549653  3.8080441e-05  
 0   141.9753994  2.1840616e-04  
 0   141.9958338  4.7838406e-05  
 0   142.0162680  8.7468332e-05  
 0   142.0367022  1.6449869e-04  
 0   142.0571364  2.7622955e-04  
 0   142.0775707  -5.2631560e-05 
 0   142.0980050  3.0429757e-04  
 0   142.1184391  2.9033370e-04  
 0   142.1388735  3.3177005e-04  
 0   142.1593077  1.7681067e-04  
 0   142.1797419  -5.3463870e-04 
 0   142.2001761  -4.8062308e-03 
 0   142.2206104  -8.6558284e-03 
 0   142.2410446  -8.8192830e-03 
 0   142.2614788  -8.9767361e-03 
 0   142.2819132  -9.0617891e-03 
 0   142.3023473  -6.7178789e-03 
 0   142.3227816  -5.8962777e-04 
 0   142.3432158  -6.2586558e-05 
 0   142.3636501  1.0963159e-05  
 0   142.3840843  -1.1968251e-04 
 0   142.4045185  -3.5852505e-04 
 0   142.4249529  -1.2147370e-04 
 0   142.4453870  2.9280478e-05  
 0   142.4658212  3.2138461e-05  
 0   142.4862554  -1.6301248e-05 
 0   142.5066897  8.7558146e-05  
 0   142.5271240  4.3461524e-04  
 0   142.5475582  -2.4920981e-04 
 0   142.5679923  6.7350884e-05  
 0   142.5884267  -1.3287865e-04 
 0   142.6088609  1.7838537e-04  
 0   142.6292950  8.4557418e-05  
 0   142.6497294  3.8252494e-04  
 0   142.6701636  1.6160235e-04  
 0   142.6905978  1.4447824e-04  
 0   142.7110320  -2.1641796e-05 
 0   142.7314663  -9.3629005e-06 
 0   142.7519005  4.3917113e-05  
 0   142.7723347  7.8299214e-05  
 0   142.7927691  -1.6201254e-04 
 0   142.8132032  -1.1932693e-04 
 0   142.8336374  -2.3783692e-04 
 0   142.8540717  -3.4934518e-04 
 0   142.8745060  2.7140773e-05  
 0   142.8949401  -2.5036104e-04 
 0   142.9153744  3.8372469e-04  
 0   142.9358087  3.8527822e-05  
 0   142.9562428  3.4272269e-04  
 0   142.9766771  4.2829073e-05  
 0   142.9971112  -8.7965193e-05 
 0   143.0175455  3.8753301e-04  
 0   143.0379798  1.6846625e-05  
 0   143.0584140  -2.4742878e-05 
 0   143.0788482  3.0166391e-04  
 0   143.0992825  5.8681791e-05  
 0   143.1197167  1.9549583e-04  
 0   143.1401510  1.5191486e-04  
 0   143.1605852  -1.6425962e-04 
 0   143.1810194  -1.1653765e-04 
 0   143.2014536  -3.1414049e-05 
 0   143.2218878  4.2640590e-04  
 0   143.2423221  -2.2835431e-04 
 0   143.2627564  -2.8112176e-04 
 0   143.2831906  1.8007540e-05  
 0   143.3036248  -2.9045125e-04 
 0   143.3240590  -2.3316785e-05 
 0   143.3649274  -3.9632065e-05 
 0   143.3853617  -2.9898214e-04 
 0   143.4057960  5.4160511e-05  
 0   143.4262301  -1.1087778e-05 
 0   143.4466644  -2.7593045e-04 
 0   143.4670987  -1.4437691e-04 
 0   143.4875328  2.8278473e-05  
 0   143.5079670  9.7538017e-05  
 0   143.5284014  -2.0809399e-04 
 0   143.5488356  -1.8612860e-04 
 0   143.5692697  -9.6261705e-05 
 0   143.5897040  -4.2591644e-05 
 0   143.6101383  -5.0261087e-04 
 0   143.6305724  -4.1553605e-04 
 0   143.6510066  -1.6586119e-04 
 0   143.6714410  -3.3827696e-04 
 0   143.6918751  -1.1899624e-04 
 0   143.7123093  1.6358620e-04  
 0   143.7327436  -4.8711390e-04 
 0   143.7531778  6.0069862e-05  
 0   143.7736120  -2.7502968e-04 
 0   143.7940462  -3.0533125e-04 
 0   143.8144805  -1.1573347e-04 
 0   143.8349147  -2.3582797e-04 
 0   143.8553489  -2.2922162e-04 
 0   143.8757830  6.8382986e-05  
 0   143.8962174  -2.4049992e-04 
 0   143.9166516  -8.6087261e-05 
 0   143.9370857  -2.9906587e-04 
 0   143.9575201  9.3502531e-06  
 0   143.9779543  -3.8225047e-05 
 0   143.9983884  -1.2229680e-04 
 0   144.0188226  -1.9426573e-04 
 0   144.0392570  -1.3358235e-06 
 0   144.0596912  -2.6159573e-04 
 0   144.0801253  -1.0045922e-04 
 0   144.1005596  2.0437808e-04  
 0   144.1209939  -1.4167123e-04 
 0   144.1414280  -3.6601935e-04 
 0   144.1618622  2.0722306e-04  
 0   144.1822965  3.9480317e-05  
 0   144.2027307  1.4693641e-04  
 0   144.2231649  -1.4279805e-04 
 0   144.2435992  -1.4473384e-04 
 0   144.2640333  -9.5367221e-05 
 0   144.2844675  -1.7497809e-05 
 0   144.3049018  1.3167373e-04  
 0   144.3253360  -1.4646767e-05 
 0   144.3457702  -1.5956399e-04 
 0   144.3662044  -2.5677867e-04 
 0   144.3866386  -1.1299381e-04 
 0   144.4070729  1.6919221e-04  
 0   144.4275071  -1.1780941e-04 
 0   144.4479412  5.6385074e-05  
 0   144.4683755  -9.3211922e-05 
 0   144.4888098  -2.2640575e-04 
 0   144.5092439  -1.0320020e-04 
 0   144.5296781  6.7608067e-05  
 0   144.5501124  -7.4875243e-05 
 0   144.5705467  -2.0495526e-04 
 0   144.5909808  -5.5136185e-05 
 0   144.6114151  8.3486600e-05  
 0   144.6318493  -6.3882559e-05 
 0   144.6522834  2.0434528e-04  
 0   144.6727177  -1.0581415e-04 
 0   144.6931520  -3.4747107e-04 
 0   144.7135861  2.3936253e-04  
 0   144.7340203  -1.6078464e-04 
 0   144.7544546  -3.9883071e-04 
 0   144.7748888  4.3716118e-05  
 0   144.7953230  1.2047242e-04  
 0   144.8157572  -3.7565854e-04 
 0   144.8361915  9.6498938e-05  
 0   144.8566256  -2.1752743e-04 
 0   144.8770598  2.5353755e-04  
 0   144.8974941  8.7416360e-05  
 0   144.9179283  -5.7599321e-04 
 0   144.9383625  -1.1531669e-04 
 0   144.9587967  -2.2582735e-04 
 0   144.9792310  -4.4463246e-04 
 0   144.9996651  -1.0794249e-04 
 0   145.0200994  -3.0174028e-04 
 0   145.0405336  -3.2223691e-04 
 0   145.0609678  -9.7633521e-05 
 0   145.0814020  -4.1121771e-04 
 0   145.1018362  -3.8760327e-04 
 0   145.1222705  -9.3617587e-04 
 0   145.1427047  1.2931850e-05  
 0   145.1631389  -9.8839686e-05 
 0   145.1835730  -2.7970615e-04 
 0   145.2040073  -3.9156966e-04 
 0   145.2244415  5.3562057e-05  
 0   145.2448756  -4.5148717e-04 
 0   145.2653099  -2.9384281e-04 
 0   145.2857442  -2.5929243e-04 
 0   145.3061784  -6.4240478e-05 
 0   145.3266125  2.9917175e-05  
 0   145.3470468  -4.1218434e-05 
 0   145.3674810  -1.1044993e-04 
 0   145.3879151  -4.6367280e-04 
 0   145.4083494  -2.6110024e-04 
 0   145.4287836  2.7775111e-05  
 0   145.4492178  9.8058132e-05  
 0   145.4696520  -1.6414937e-04 
 0   145.4900863  -1.2485741e-04 
 0   145.5105204  -2.3805880e-04 
 0   145.5309546  -3.3760924e-05 
 0   145.5513888  -4.5544887e-04 
 0   145.5718231  4.9052818e-05  
 0   145.5922572  -3.9942612e-04 
 0   145.6126915  -2.1613774e-05 
 0   145.6331258  -1.9278842e-04 
 0   145.6535599  -2.6264051e-05 
 0   145.6739941  -3.0562826e-04 
 0   145.6944282  6.4449245e-04  
 0   145.7148625  -1.8845274e-03 
 0   145.7352967  -8.0476850e-03 
 0   145.7557309  -9.2191184e-03 
 0   145.7761651  -9.2737637e-03 
 0   145.7965993  -9.0377098e-03 
 0   145.8170335  -7.9647638e-03 
 0   145.8374677  -2.8481781e-03 
 0   145.8579020  -4.8564406e-04 
 0   145.8783362  -1.1257411e-04 
 0   145.8987703  2.8769995e-04  
 0   145.9192046  5.4788077e-04  
 0   145.9396388  -2.4001730e-04 
 0   145.9600729  -1.3932484e-04 
 0   145.9805071  -2.8742387e-04 
 0   146.0009414  -1.6192261e-04 
 0   146.0213756  -4.5821010e-04 
 0   146.0418097  9.3993651e-05  
 0   146.0622440  -2.2068428e-04 
 0   146.0826782  -3.8195998e-04 
 0   146.1031124  9.1258975e-05  
 0   146.1235466  -1.7610571e-04 
 0   146.1439809  -1.1387090e-04 
