\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5126991  -4.9589657e-05 
 0   131.5331338  -1.5004260e-05 
 0   131.5535684  1.0408751e-05  
 0   131.5740028  2.7534665e-05  
 0   131.5944374  -7.3887393e-05 
 0   131.6148721  7.7100431e-06  
 0   131.6353065  -3.7932619e-05 
 0   131.6557411  -7.8985257e-05 
 0   131.6761758  6.8051937e-05  
 0   131.6966104  -4.6958990e-05 
 0   131.7170448  -5.8064681e-05 
 0   131.7374794  -5.8000103e-05 
 0   131.7579141  -5.2988446e-07 
 0   131.7783485  2.5387153e-05  
 0   131.7987831  -6.8747369e-07 
 0   131.8192178  1.0309336e-04  
 0   131.8396523  1.0201442e-06  
 0   131.8600868  1.3407198e-04  
 0   131.8805214  -4.9712770e-07 
 0   131.9009560  7.1601928e-05  
 0   131.9213906  -1.9739724e-05 
 0   131.9418251  -3.7495203e-05 
 0   131.9622597  1.1746291e-04  
 0   131.9826943  4.7712612e-05  
 0   132.0031288  3.5513389e-05  
 0   132.0235633  -2.1815935e-05 
 0   132.0439980  8.6846723e-07  
 0   132.0644325  9.3464041e-05  
 0   132.0848670  7.7252771e-05  
 0   132.1053016  7.7858283e-05  
 0   132.1257363  -9.1914859e-05 
 0   132.1461707  -4.9370556e-05 
 0   132.1666053  -3.2739419e-05 
 0   132.1870400  6.9994476e-06  
 0   132.2074745  6.5324719e-05  
 0   132.2279090  1.5567694e-04  
 0   132.2483436  1.3766255e-05  
 0   132.2687782  1.0772997e-05  
 0   132.2892127  1.9770920e-05  
 0   132.3096473  7.8270677e-05  
 0   132.3300820  -1.1988897e-04 
 0   132.3505164  -1.6456981e-04 
 0   132.3709510  -1.2659012e-04 
 0   132.3913856  2.2561658e-06  
 0   132.4118201  2.9780225e-05  
 0   132.4322547  -5.8786627e-06 
 0   132.4526893  -2.9189786e-07 
 0   132.4731239  3.9189559e-05  
 0   132.4935584  5.0058392e-05  
 0   132.5139930  -2.0366535e-05 
 0   132.5344274  -1.9931154e-04 
 0   132.5548621  3.8925653e-05  
 0   132.5752967  -9.1057818e-06 
 0   132.5957311  -5.1592764e-05 
 0   132.6161658  -4.9445174e-05 
 0   132.6366004  -8.3686304e-05 
 0   132.6570349  -8.9857494e-05 
 0   132.6774694  4.7712024e-06  
 0   132.6979041  -1.0121933e-04 
 0   132.7183386  9.7328237e-05  
 0   132.7387731  9.1237060e-05  
 0   132.7592078  1.0180745e-04  
 0   132.7796423  -9.4707757e-06 
 0   132.8000768  5.6995523e-05  
 0   132.8205114  -4.2165389e-05 
 0   132.8409460  4.9507121e-06  
 0   132.8613805  1.7826483e-04  
 0   132.8818151  3.4573095e-05  
 0   132.9022497  1.0287758e-04  
 0   132.9226842  -4.4471682e-05 
 0   132.9431188  1.0003614e-04  
 0   132.9635533  -2.5955736e-05 
 0   132.9839880  4.0487299e-05  
 0   133.0044225  -8.3665782e-06 
 0   133.0248570  1.2255428e-05  
 0   133.0452916  -2.7775170e-05 
 0   133.0657262  2.7003962e-05  
 0   133.0861607  -2.9027768e-05 
 0   133.1065953  2.1729568e-06  
 0   133.1270299  -5.0650629e-05 
 0   133.1474644  -6.2499515e-05 
 0   133.1678990  3.7587855e-05  
 0   133.1883336  -5.6597288e-05 
 0   133.2087682  6.0673367e-05  
 0   133.2292027  5.4066895e-05  
 0   133.2496372  -1.2025799e-05 
 0   133.2700718  -6.5079010e-05 
 0   133.2905064  -5.3905962e-05 
 0   133.3109409  -5.9069531e-05 
 0   133.3313754  4.3131688e-05  
 0   133.3518101  8.1189719e-05  
 0   133.3722446  -2.7146072e-05 
 0   133.3926792  -5.0326503e-06 
 0   133.4131138  -1.3570069e-05 
 0   133.4335483  2.0111915e-05  
 0   133.4539829  -2.8392455e-05 
 0   133.4744173  -4.3480177e-05 
 0   133.4948520  8.4293360e-06  
