\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5118164  -9.9789533e-05 
 0   131.5322509  -5.9187406e-04 
 0   131.5526853  1.3499573e-04  
 0   131.5731196  -2.0113570e-05 
 0   131.5935540  1.7342552e-04  
 0   131.6139885  4.0092651e-04  
 0   131.6344228  -3.5865934e-05 
 0   131.6548572  2.0997964e-04  
 0   131.6752917  -9.6665281e-05 
 0   131.6957261  4.8881135e-04  
 0   131.7161603  4.0117033e-05  
 0   131.7365947  4.1349113e-04  
 0   131.7570292  3.3347489e-04  
 0   131.7774635  3.2614995e-04  
 0   131.7978979  6.6531436e-05  
 0   131.8183324  -1.2070355e-04 
 0   131.8387667  -1.5107088e-04 
 0   131.8592011  -3.3598012e-04 
 0   131.8796355  -2.8839803e-04 
 0   131.9000699  -2.8573451e-04 
 0   131.9205043  4.3616645e-04  
 0   131.9409386  3.6058805e-06  
 0   131.9613730  -4.3155751e-04 
 0   131.9818074  3.9862350e-04  
 0   132.0022418  2.2257015e-04  
 0   132.0226761  7.8655983e-05  
 0   132.0431106  5.3407284e-06  
 0   132.0635450  -3.4897029e-04 
 0   132.0839793  9.5391610e-05  
 0   132.1044137  2.4938100e-04  
 0   132.1452824  1.2140529e-04  
 0   132.1657168  5.7620363e-04  
 0   132.1861513  -3.0665423e-04 
 0   132.2065857  4.8689655e-04  
 0   132.2270200  2.1690712e-05  
 0   132.2474544  -6.4122060e-04 
 0   132.2678889  -1.0497202e-04 
 0   132.2883232  3.9312123e-05  
 0   132.3087576  2.3655957e-04  
 0   132.3291921  -1.0560297e-04 
 0   132.3496263  2.1095329e-04  
 0   132.3700607  2.1717222e-04  
 0   132.3904951  -1.0642941e-06 
 0   132.4109295  1.0443681e-04  
 0   132.4313639  3.2365037e-04  
 0   132.4517983  6.7735201e-04  
 0   132.4722328  -2.2023954e-04 
 0   132.4926671  -4.3545693e-05 
 0   132.5131015  2.9255846e-04  
 0   132.5335358  -2.3914094e-05 
 0   132.5539702  1.4319511e-04  
 0   132.5744046  -9.1866032e-06 
 0   132.5948389  3.7881293e-04  
 0   132.6152734  5.7273952e-04  
 0   132.6357078  9.9155250e-06  
 0   132.6561422  -1.4156816e-04 
 0   132.6765765  -6.6709464e-07 
 0   132.6970110  3.3580750e-04  
 0   132.7174454  1.3860936e-04  
 0   132.7378797  1.0081426e-04  
 0   132.7583141  2.1989395e-04  
 0   132.7787485  -1.0252763e-05 
 0   132.7991828  1.2275168e-04  
 0   132.8196172  -3.0147299e-04 
 0   132.8400517  -4.8653241e-05 
 0   132.8604860  2.1377826e-05  
 0   132.8809204  6.3000160e-05  
 0   132.9013549  -2.6099381e-04 
 0   132.9217892  -6.9083412e-06 
 0   132.9422236  -1.1259473e-04 
 0   132.9626579  1.1897051e-04  
 0   132.9830924  -5.7358673e-05 
 0   133.0035267  -2.4616456e-04 
 0   133.0239611  6.1932107e-04  
