Data for HD 219666
Garbage, time, flux
Generated by R.P. Nelson
4.600000000000000000e+01 1.325363423335333664e+03 9.985284805297851562e-01
4.700000000000000000e+01 1.325364812251425974e+03 9.995733499526977539e-01
4.800000000000000000e+01 1.325366201167750660e+03 9.992158412933349609e-01
4.900000000000000000e+01 1.325367590084076255e+03 9.998262524604797363e-01
5.000000000000000000e+01 1.325368979000168565e+03 9.988167285919189453e-01
5.100000000000000000e+01 1.325370367916493478e+03 1.000299692153930664e+00
5.200000000000000000e+01 1.325371756832586470e+03 1.001174569129943848e+00
5.300000000000000000e+01 1.325373145748910702e+03 9.991243481636047363e-01
5.400000000000000000e+01 1.325374534665002557e+03 9.995691776275634766e-01
5.500000000000000000e+01 1.325375923581328379e+03 1.000409603118896484e+00
5.600000000000000000e+01 1.325377312497420007e+03 1.000274658203125000e+00
5.700000000000000000e+01 1.325378701413744693e+03 9.996269345283508301e-01
5.800000000000000000e+01 1.325380090329837458e+03 1.000241279602050781e+00
5.900000000000000000e+01 1.325381479246162598e+03 1.000967741012573242e+00
6.000000000000000000e+01 1.325382868162254681e+03 1.000256299972534180e+00
6.100000000000000000e+01 1.325384257078579594e+03 1.001355171203613281e+00
6.200000000000000000e+01 1.325385645994672359e+03 9.995000958442687988e-01
6.300000000000000000e+01 1.325387034910997500e+03 1.000031113624572754e+00
6.400000000000000000e+01 1.325388423827088900e+03 9.995953440666198730e-01
6.500000000000000000e+01 1.325389812743181665e+03 1.000286698341369629e+00
6.600000000000000000e+01 1.325391201659506805e+03 1.000083565711975098e+00
6.700000000000000000e+01 1.325392590575598661e+03 1.000071167945861816e+00
6.800000000000000000e+01 1.325393979491691425e+03 1.000246047973632812e+00
6.900000000000000000e+01 1.325395368408015884e+03 9.992911219596862793e-01
7.000000000000000000e+01 1.325396757324107966e+03 9.994618296623229980e-01
7.100000000000000000e+01 1.325398146240200731e+03 1.000455617904663086e+00
7.200000000000000000e+01 1.325399535156524962e+03 9.995335340499877930e-01
7.300000000000000000e+01 1.325400924072617272e+03 9.996857643127441406e-01
7.400000000000000000e+01 1.325402312988710037e+03 1.000009417533874512e+00
7.500000000000000000e+01 1.325403701905035177e+03 1.000537157058715820e+00
7.600000000000000000e+01 1.325405090821127033e+03 9.999074935913085938e-01
7.700000000000000000e+01 1.325406479737219342e+03 9.996446371078491211e-01
7.800000000000000000e+01 1.325407868653312107e+03 1.000398278236389160e+00
7.900000000000000000e+01 1.325409257569637248e+03 1.000234365463256836e+00
8.000000000000000000e+01 1.325410646485728648e+03 1.000099182128906250e+00
8.100000000000000000e+01 1.325412035401821413e+03 9.990665316581726074e-01
8.200000000000000000e+01 1.325413424317913268e+03 1.000019788742065430e+00
8.300000000000000000e+01 1.325414813234004896e+03 9.999400377273559570e-01
8.400000000000000000e+01 1.325416202150330719e+03 9.993243217468261719e-01
8.500000000000000000e+01 1.325417591066422574e+03 9.992740154266357422e-01
8.600000000000000000e+01 1.325418979982514884e+03 1.000413060188293457e+00
8.700000000000000000e+01 1.325420368898607649e+03 1.000350475311279297e+00
8.800000000000000000e+01 1.325421757814699959e+03 1.000481605529785156e+00
8.900000000000000000e+01 1.325423146730791814e+03 9.994842410087585449e-01
9.000000000000000000e+01 1.325424535647116954e+03 9.994471669197082520e-01
9.100000000000000000e+01 1.325425924563208810e+03 1.000239849090576172e+00
9.200000000000000000e+01 1.325427313479301120e+03 9.999792575836181641e-01
9.300000000000000000e+01 1.325428702395393429e+03 1.000575065612792969e+00
9.400000000000000000e+01 1.325430091311486194e+03 9.995926022529602051e-01
9.500000000000000000e+01 1.325431480227578049e+03 1.000638365745544434e+00
9.600000000000000000e+01 1.325432869143669450e+03 1.000058054924011230e+00
9.700000000000000000e+01 1.325434258059762442e+03 9.997934699058532715e-01
9.800000000000000000e+01 1.325435646975854524e+03 9.996280074119567871e-01
9.900000000000000000e+01 1.325437035891945925e+03 1.000958085060119629e+00
1.000000000000000000e+02 1.325438424808038690e+03 1.000546216964721680e+00
1.010000000000000000e+02 1.325439813724131682e+03 1.001177668571472168e+00
1.020000000000000000e+02 1.325441202640223764e+03 9.997047185897827148e-01
1.030000000000000000e+02 1.325442591556316074e+03 9.992989301681518555e-01
1.040000000000000000e+02 1.325443980472407929e+03 1.000195741653442383e+00
1.050000000000000000e+02 1.325445369388500239e+03 9.993628263473510742e-01
1.060000000000000000e+02 1.325446758304592322e+03 9.992475509643554688e-01
1.070000000000000000e+02 1.325448147220684405e+03 1.000142097473144531e+00
1.080000000000000000e+02 1.325449536136776715e+03 1.000772476196289062e+00
1.090000000000000000e+02 1.325450925052868570e+03 1.000889182090759277e+00
1.100000000000000000e+02 1.325452313968961562e+03 1.001250147819519043e+00
1.110000000000000000e+02 1.325453702884820814e+03 9.995154142379760742e-01
1.120000000000000000e+02 1.325455091800912214e+03 1.001182913780212402e+00
1.130000000000000000e+02 1.325456480717004979e+03 1.000039577484130859e+00
1.140000000000000000e+02 1.325457869633097744e+03 9.993433356285095215e-01
1.150000000000000000e+02 1.325459258549189371e+03 9.991723299026489258e-01
1.160000000000000000e+02 1.325460647465281454e+03 1.000134944915771484e+00
1.170000000000000000e+02 1.325462036381374219e+03 1.000897407531738281e+00
1.180000000000000000e+02 1.325463425297232789e+03 1.000323534011840820e+00
1.190000000000000000e+02 1.325464814213325099e+03 9.986020326614379883e-01
1.200000000000000000e+02 1.325466203129417863e+03 1.000139594078063965e+00
1.210000000000000000e+02 1.325467592045510173e+03 1.000382423400878906e+00
1.220000000000000000e+02 1.325468980961369198e+03 9.999631643295288086e-01
1.230000000000000000e+02 1.325470369877461508e+03 1.000289797782897949e+00
1.240000000000000000e+02 1.325471758793553590e+03 9.997399449348449707e-01
1.250000000000000000e+02 1.325473147709645673e+03 9.997360110282897949e-01
1.260000000000000000e+02 1.325474536625505152e+03 1.000307083129882812e+00
1.270000000000000000e+02 1.325475925541597917e+03 1.001051425933837891e+00
1.280000000000000000e+02 1.325477314457689772e+03 1.000758171081542969e+00
1.290000000000000000e+02 1.325478703373782082e+03 1.001382470130920410e+00
1.300000000000000000e+02 1.325480092289642016e+03 1.000292539596557617e+00
1.310000000000000000e+02 1.325481481205733417e+03 9.995321035385131836e-01
1.320000000000000000e+02 1.325482870121825727e+03 9.996505379676818848e-01
1.330000000000000000e+02 1.325484259037685661e+03 1.000489473342895508e+00
1.340000000000000000e+02 1.325485647953777061e+03 9.997202754020690918e-01
1.350000000000000000e+02 1.325487036869869371e+03 1.001563906669616699e+00
1.360000000000000000e+02 1.325488425785729305e+03 9.993509650230407715e-01
1.370000000000000000e+02 1.325489814701821160e+03 9.990726709365844727e-01
1.380000000000000000e+02 1.325491203617913470e+03 1.000567317008972168e+00
1.390000000000000000e+02 1.325492592533772950e+03 1.000806927680969238e+00
1.400000000000000000e+02 1.325493981449865714e+03 9.991912245750427246e-01
1.410000000000000000e+02 1.325495370365724739e+03 9.993984699249267578e-01
1.420000000000000000e+02 1.325496759281816367e+03 1.000541687011718750e+00
1.430000000000000000e+02 1.325498148197676528e+03 9.990461468696594238e-01
1.440000000000000000e+02 1.325499537113768383e+03 9.993211627006530762e-01
1.450000000000000000e+02 1.325500926029860693e+03 1.000332951545715332e+00
1.460000000000000000e+02 1.325502314945720627e+03 9.996759295463562012e-01
1.470000000000000000e+02 1.325503703861812028e+03 1.001539111137390137e+00
